City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Avarua,CK,80.65,scattered clouds,-21.2078,-159.775,Paradise Inn
Salalah,OM,81.27,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
Fomboni,KM,79.12,light rain,-12.28,43.7425,Auberge les abou
Butaritari,KI,81.68,broken clouds,3.0707,172.7902,Isles Sunset Lodge
Sinnamary,GF,78.01,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
Touros,BR,77.94,moderate rain,-5.1989,-35.4608,INN NEW HORIZON
Atuona,PF,78.3,broken clouds,-9.8,-139.0333,Villa Enata
Kribi,CM,75.2,light rain,2.95,9.9167,La Grace Hôtel
Georgetown,MY,80.53,light rain,5.4112,100.3354,Cititel Penang
Kutum,SD,81.48,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
Bentiu,SS,83.44,scattered clouds,9.2333,29.8333,Mandela hôtel
Salinas,US,79.02,broken clouds,36.6777,-121.6555,Laurel Inn & Conference Center
Hithadhoo,MV,82.99,broken clouds,-0.6,73.0833,Scoop Guest House
Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
Kapaa,US,81.48,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
Doha,QA,89.91,clear sky,25.2867,51.5333,Movenpick Hotel Doha
Labuhan,ID,77.5,overcast clouds,-6.8844,112.2051,DoubleFAG
Makaha,US,85.33,few clouds,21.4694,-158.2175,Hawaiian Princess Resort
Dubrovnik,HR,80.24,clear sky,42.6481,18.0922,Hotel Dubrovnik Palace
Bourbonnais,US,82.81,broken clouds,41.1417,-87.875,Fairfield Inn by Marriott Kankakee Bourbonnais
Cayenne,GF,80.64,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
Sai Buri,TH,76.89,moderate rain,6.7013,101.6168,ร้าน​ เวดดิ้ง
Kununurra,AU,75.18,overcast clouds,-15.7667,128.7333,Hotel Kununurra
Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
Dingle,PH,76.71,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
Jibuti,DJ,85.82,few clouds,11.5,42.5,Orchid Main Camp Goubet
Santa Cruz,BO,80.65,scattered clouds,-17.8,-63.1667,Aviador Hotel Boutique
Hilo,US,89.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
Vila Do Maio,CV,75.99,few clouds,15.1333,-23.2167,Hotel Marilu
Popondetta,PG,77.74,scattered clouds,-8.7537,148.2534,Timos Transit House
Loandjili,CG,75.31,few clouds,-4.7561,11.8578,Résidence ARCHANGE
Maracaibo,VE,86.05,few clouds,10.6317,-71.6406,Motel Aladdin
Razole,IN,81.01,overcast clouds,16.4833,81.8333,Sterling Palavelli Godavari
Independence,US,79.2,few clouds,39.0911,-94.4155,Higher Ground Hotel
Umm Lajj,SA,87.69,few clouds,25.0213,37.2685,Moon light Furnished Units
Bethel,US,76.06,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
Takoradi,GH,78.35,light rain,4.8845,-1.7554,Raybow International Hotel
Laguna,US,79.95,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
Jalu,LY,80.56,clear sky,29.0331,21.5482,صاحبة الفخامة
Bengkulu,ID,76.68,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
Alofi,NU,78.69,clear sky,-19.0595,-169.9187,Taloa Heights
Itaituba,BR,78.96,moderate rain,-4.2761,-55.9836,Hotel Campos
Buala,SB,82.51,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
Asyut,EG,86.18,overcast clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
Avera,US,86.05,broken clouds,33.194,-82.5271,
Marang,MY,78.71,overcast clouds,5.2056,103.2059,DBarakah Homestay
San Cristobal,VE,75.38,broken clouds,7.7669,-72.225,Pirineos
Beyneu,KZ,81.72,scattered clouds,45.3167,55.2,NUR
Orikum,AL,75.96,scattered clouds,40.3253,19.4714,Hotel Denta
Puerto Padre,CU,86.9,overcast clouds,21.195,-76.6028,Casa Villa Velázquez
Bafq,IR,78.55,clear sky,31.6128,55.4107,Alamdar Hotel
Lazaro Cardenas,MX,84.24,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
Ceres,US,85.05,broken clouds,37.5949,-120.9577,Howard Johnson by Wyndham Modesto Ceres
Maragogi,BR,75.09,clear sky,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
Bud,US,84.92,scattered clouds,39.447,-86.1758,Ted McQuinn Trust
Trat,TH,80.91,overcast clouds,12.5,102.5,สวนหนิง-อัศ
Kavaratti,IN,82.98,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
Vieste,IT,78.69,overcast clouds,41.8825,16.175,Hotel Falcone
Victoria,HK,84.38,overcast clouds,22.2855,114.1577,Mini Central
Fuerte,PH,79.63,broken clouds,17.5381,120.3644,Giordion Inn
Wewak,PG,78.75,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
Niles,US,81.32,overcast clouds,42.0189,-87.8028,"Holiday Inn & Suites Chicago North Shore (Skokie), an IHG Hotel"
Honiara,SB,78.22,overcast clouds,-9.4333,159.95,Heritage Park Hotel
Superior,US,75.49,clear sky,46.7208,-92.1041,"Holiday Inn Express & Suites Superior - Duluth Area, an IHG Hotel"
Juxtlahuaca,MX,83.84,broken clouds,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
Sabang,ID,82.13,overcast clouds,5.8933,95.3214,Hotel Citra
Mount Pleasant,US,80.31,light intensity drizzle,32.7941,-79.8626,Best Western Patriots Point
Balingasay,PH,81.7,broken clouds,16.3573,119.8564,Rock Garden Resort
Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
Isangel,VU,75.31,few clouds,-19.55,169.2667,Tanna Lodge
Minbu,MM,80.67,broken clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
Faanui,PF,79.66,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
Meulaboh,ID,76.06,overcast clouds,4.1363,96.1285,Kost Pria
Sorong,ID,77.97,broken clouds,-0.8833,131.25,Waigo Splash Hotel
Shreveport,US,88.09,few clouds,32.5251,-93.7502,Bally's Shreveport Casino & Hotel
Todos Santos,MX,75.16,clear sky,23.45,-110.2167,Hotel California Todos Santos
Pitimbu,BR,77.59,clear sky,-7.4706,-34.8086,Reserva do Abiaí
Vanimo,PG,77.52,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
Dicabisagan,PH,78.85,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
Puerto Madero,MX,86.2,broken clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
Thinadhoo,MV,83.21,overcast clouds,0.5333,72.9333,
Praya,CV,75.74,clear sky,14.9215,-23.5087,LT Aparthotel
Gigmoto,PH,80.31,overcast clouds,13.7796,124.39,Cj's Travellers Inn
Biak,ID,75.88,broken clouds,-0.9131,122.8766,Penginapan Kim
Palauig,PH,80.87,overcast clouds,15.435,119.9045,Alperi Botique Resort
Sao Jose Da Coroa Grande,BR,76.05,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
Itupiranga,BR,80.92,few clouds,-5.1347,-49.3267,Hotel Panorama
Lorengau,PG,81.36,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
Urucui,BR,79.0,few clouds,-7.2294,-44.5561,Hotel Premium Piauí
Acapulco,MX,84.15,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
Sao Filipe,CV,75.54,clear sky,14.8961,-24.4956,Hotel Xaguate
Pizarro,CO,77.92,light rain,4.9533,-77.366,Hotel Limonar
Tautira,PF,80.11,broken clouds,-17.7333,-149.15,Pension Oaoa
Qui Nhon,VN,79.27,few clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
Turayf,SA,80.85,clear sky,31.6725,38.6637,Turaif
Durant,US,77.16,clear sky,33.994,-96.3708,"Holiday Inn Express & Suites Durant, an IHG Hotel"
