City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Avarua,CK,-21.2078,-159.775,80.65,83,40,9.22,scattered clouds
Hobart,AU,-42.8794,147.3294,51.26,70,40,12.66,scattered clouds
Fortuna,US,40.5982,-124.1573,64.65,78,65,10.67,broken clouds
Bluff,NZ,-46.6,168.3333,41.81,83,10,10.71,clear sky
Airai,TL,-8.9266,125.4092,58.05,88,97,2.35,overcast clouds
Komsomolskiy,UZ,40.4272,71.7189,70.52,46,4,4.61,clear sky
Ushuaia,AR,-54.8,-68.3,49.66,43,75,19.57,light intensity drizzle
Rikitea,PF,-23.1203,-134.9692,73.69,78,16,17.56,light rain
Dolores,AR,-36.3132,-57.6792,50.45,83,46,3.09,scattered clouds
Salalah,OM,17.0151,54.0924,81.27,79,91,4.83,overcast clouds
East London,ZA,-33.0153,27.9116,61.65,77,37,11.01,scattered clouds
Torbay,CA,47.6666,-52.7314,52.57,71,75,17.27,broken clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,55.99,51,40,4.47,scattered clouds
Pevek,RU,69.7008,170.3133,32.68,81,49,7.02,scattered clouds
Bredasdorp,ZA,-34.5322,20.0403,54.68,82,9,3.87,clear sky
Belyy Yar,RU,53.6039,91.3903,51.69,93,40,2.24,light rain
Fomboni,KM,-12.28,43.7425,79.12,73,70,21.43,light rain
Cherskiy,RU,68.75,161.3,40.39,61,46,17.63,scattered clouds
Suratgarh,IN,29.3167,73.9,91.6,14,0,9.51,clear sky
Fort Nelson,CA,58.8053,-122.7002,58.59,67,75,5.75,broken clouds
Butaritari,KI,3.0707,172.7902,81.68,71,70,11.74,broken clouds
Carnarvon,AU,-24.8667,113.6333,65.57,49,1,7.11,clear sky
Sinnamary,GF,5.3833,-52.95,78.01,87,95,9.35,overcast clouds
Saint-Pierre,RE,-21.3393,55.4781,71.91,56,0,9.22,clear sky
Klaksvik,FO,62.2266,-6.589,50.92,87,100,11.74,overcast clouds
Albany,US,42.6001,-73.9662,74.79,33,11,1.01,few clouds
Iqaluit,CA,63.7506,-68.5145,56.93,38,0,14.97,clear sky
Chara,RU,56.9064,118.2631,61.84,50,13,2.15,few clouds
Srednekolymsk,RU,67.45,153.6833,47.3,43,94,13.82,overcast clouds
Yellowknife,CA,62.456,-114.3525,72.12,30,75,19.57,broken clouds
Auchi,NG,7.0667,6.2667,70.41,94,98,1.3,overcast clouds
Sedkyrkeshch,RU,61.75,50.9167,52.07,100,100,4.47,fog
Khatanga,RU,71.9667,102.5,28.02,87,89,6.15,overcast clouds
Mataura,NZ,-46.1927,168.8643,41.49,83,0,3.2,clear sky
Touros,BR,-5.1989,-35.4608,77.94,79,93,13.42,moderate rain
Cape Town,ZA,-33.9258,18.4232,64.38,69,0,4.61,clear sky
Atuona,PF,-9.8,-139.0333,78.3,72,56,15.21,broken clouds
Oranjemund,NA,-28.55,16.4333,69.33,28,3,7.85,clear sky
Lucapa,AO,-8.4192,20.7447,63.95,48,17,4.45,few clouds
Kribi,CM,2.95,9.9167,75.2,93,100,4.56,light rain
Kaitangata,NZ,-46.2817,169.8464,47.16,78,1,3.51,clear sky
Chato,TZ,-2.6378,31.7669,65.26,67,33,4.72,scattered clouds
Georgetown,MY,5.4112,100.3354,80.53,93,20,2.3,light rain
Antofagasta,CL,-23.65,-70.4,61.88,77,27,4.03,scattered clouds
Longyan,CN,25.1072,117.0225,74.62,99,100,3.89,moderate rain
Longyearbyen,SJ,78.2186,15.6401,44.44,87,75,9.22,light rain
Pangnirtung,CA,66.1451,-65.7125,38.59,90,52,0.85,broken clouds
Kutum,SD,14.2,24.6667,81.48,16,84,9.86,broken clouds
Port Alfred,ZA,-33.5906,26.891,57.18,89,10,15.82,clear sky
San Vicente,AR,-26.6167,-54.1333,58.23,97,100,2.91,overcast clouds
Kaeo,NZ,-35.1,173.7833,58.32,98,77,5.82,broken clouds
Castro,BR,-24.7911,-50.0119,56.89,85,99,3.56,overcast clouds
Vardo,NO,70.3705,31.1107,42.78,87,75,13.8,broken clouds
Bentiu,SS,9.2333,29.8333,83.44,40,39,4.21,scattered clouds
Salinas,US,36.6777,-121.6555,79.02,62,78,9.42,broken clouds
Barrow,US,71.2906,-156.7887,26.62,86,100,23.02,overcast clouds
Hithadhoo,MV,-0.6,73.0833,82.99,69,52,5.17,broken clouds
Songjianghe,CN,42.1859,127.479,50.45,95,95,2.91,overcast clouds
Pisco,PE,-13.7,-76.2167,68.05,73,0,18.41,clear sky
Atherton,GB,53.5237,-2.4935,53.29,86,100,5.44,overcast clouds
Saint-Philippe,RE,-21.3585,55.7679,71.19,72,41,10.29,scattered clouds
Terney,RU,45.0503,136.6092,47.86,70,85,8.88,overcast clouds
Bowen,AU,-20.0167,148.2333,71.02,83,96,6.4,overcast clouds
Pafos,CY,34.7667,32.4167,73.18,73,20,5.75,few clouds
Puerto Ayora,EC,-0.7393,-90.3518,80.56,92,97,5.99,overcast clouds
Kapaa,US,22.0752,-159.319,81.48,71,0,4.0,clear sky
Bestobe,KZ,52.4994,73.0975,50.88,60,91,6.89,overcast clouds
Doha,QA,25.2867,51.5333,89.91,68,0,9.22,clear sky
Saskylakh,RU,71.9167,114.0833,34.32,63,26,10.13,scattered clouds
Shakawe,BW,-18.3667,21.85,51.17,51,34,6.29,scattered clouds
Lebu,CL,-37.6167,-73.65,52.97,96,100,10.76,overcast clouds
Labuhan,ID,-6.8844,112.2051,77.5,89,96,6.89,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,28.4,80,100,5.75,overcast clouds
Makaha,US,21.4694,-158.2175,85.33,47,20,6.91,few clouds
Hasaki,JP,35.7333,140.8333,63.0,84,100,7.61,light rain
Yulara,AU,-25.2406,130.9889,47.84,70,29,7.9,scattered clouds
Dubrovnik,HR,42.6481,18.0922,80.24,65,0,5.75,clear sky
Bourbonnais,US,41.1417,-87.875,82.81,40,75,6.91,broken clouds
Moramanga,MG,-18.9333,48.2,56.91,99,82,2.3,broken clouds
Lavrentiya,RU,65.5833,-171.0,40.84,69,93,2.59,overcast clouds
Chuy,UY,-33.6971,-53.4616,59.13,88,100,2.01,overcast clouds
Husavik,IS,66.0449,-17.3389,41.27,71,96,20.27,overcast clouds
Nikolskoye,RU,59.7035,30.7861,58.89,71,92,6.62,overcast clouds
Zehdenick,DE,52.9785,13.3317,72.91,64,89,13.11,overcast clouds
Ise,JP,34.4833,136.7,63.72,93,100,24.34,light rain
Jamestown,US,42.097,-79.2353,71.24,27,75,9.22,broken clouds
Christchurch,NZ,-43.5333,172.6333,54.41,84,99,4.61,overcast clouds
Ustye,RU,59.6304,39.736,47.64,96,4,4.68,clear sky
Severo-Yeniseyskiy,RU,60.3725,93.0408,38.41,74,100,2.68,overcast clouds
Cayenne,GF,4.9333,-52.3333,80.64,1,75,10.36,moderate rain
Lazarev,RU,52.225,141.5131,43.11,83,59,15.93,broken clouds
Ilulissat,GL,69.2167,-51.1,38.5,55,9,11.45,clear sky
Asau,RO,46.4333,26.4,60.28,91,98,3.94,overcast clouds
Sai Buri,TH,6.7013,101.6168,76.89,86,87,3.47,moderate rain
Kununurra,AU,-15.7667,128.7333,75.18,88,100,0.0,overcast clouds
Vaini,TO,-21.2,-175.2,78.96,73,40,5.75,scattered clouds
Arraial Do Cabo,BR,-22.9661,-42.0278,69.66,56,40,11.5,scattered clouds
Kodiak,US,57.79,-152.4072,55.51,74,13,4.94,few clouds
Busselton,AU,-33.65,115.3333,54.64,73,100,9.35,overcast clouds
Cidreira,BR,-30.1811,-50.2056,61.92,96,100,8.03,overcast clouds
Boulder City,US,35.9786,-114.8325,99.77,12,0,12.66,clear sky
Cabo San Lucas,MX,22.8909,-109.9124,90.61,60,2,12.48,clear sky
Karratha,AU,-20.7377,116.8463,68.88,53,58,13.85,broken clouds
San Quintin,MX,30.4833,-115.95,68.76,71,0,18.5,clear sky
Rio Gallegos,AR,-51.6226,-69.2181,48.25,40,75,23.02,broken clouds
Taunggyi,MM,20.7833,97.0333,62.04,95,74,2.77,broken clouds
Vao,NC,-22.6667,167.4833,73.06,71,22,7.94,few clouds
Dingle,PH,10.9995,122.6711,76.71,89,100,1.52,overcast clouds
Plettenberg Bay,ZA,-34.0527,23.3716,59.92,65,8,4.76,clear sky
